Order ID;Amount;Status;Payment type;User ID;Created at;Country;Product name
e6a7e8d5-68ab-40c3-989d-55fae7377981;29,99;settled;Recurring;1fb9bb1a-033a-4043-8637-e292fb7c8d06;2023-02-26 23:18:51;ESP;Monthly_timer_trial_29.99
6a2d5893-e002-43a8-90be-8efaa0f75706;29,99;settled;Recurring;c45a0551-b258-4663-b8a0-30b4528ed9e1;2023-02-26 22:43:51;USA;Monthly_timer_trial_29.99
e5b40680-a7db-48d4-b7e1-647a1bc770e0;29,99;settled;Recurring;39ebc284-1854-44b6-b5a6-81eb39217125;2023-02-26 22:29:51;AUS;Monthly_timer_trial_29.99
5bc74fa9-382d-45ff-9966-a4b3e18cbe19;29,99;settled;Recurring;89e6fd1b-5736-461a-b40f-2e8de25ef078;2023-02-26 21:22:36;CAN;Monthly_timer_trial_29.99
02c3abc0-a1de-4b48-ad88-355491be614d;29,99;settled;Recurring;45d64ecd-f173-4ffa-a455-32273dea4e16;2023-02-26 20:04:35;CAN;Monthly_timer_trial_29.99
d826be4d-4856-4431-a1a3-fce7da395320;29,99;settled;Recurring;af658f37-7e04-4d4e-9701-2a0aea52022b;2023-02-26 18:09:50;USA;Monthly_timer_trial_29.99
c8b7a1f9-ad97-449b-8ff2-f14660f2cade;29,99;settled;Recurring;ff9f671c-9a6a-48df-a93f-ef06cbc44f12;2023-02-26 18:02:51;USA;Monthly_timer_trial_29.99
7a2c2563-fe7c-4266-8800-1adbed17d082;29,99;settled;Recurring;a2f49adf-ea43-4e52-957b-0b5c33801ca6;2023-02-26 17:39:51;GLP;Monthly_timer_trial_29.99
f17911f5-31af-4f6d-bdd5-f09eecb7fe01;29,99;settled;Recurring;b041867b-e486-49fd-8b38-5bc452464462;2023-02-26 17:05:37;USA;Monthly_timer_trial_29.99
cbb53238-22bc-4d70-8efc-735072ddd378;29,99;settled;Recurring;ccd3b257-918b-4333-a6b2-e18de4854ba9;2023-02-26 16:54:57;USA;Monthly_timer_trial_29.99
5d1f06bf-7e18-402c-a496-5adb7fa2f2b0;29,99;settled;Recurring;24defad8-0fa6-4098-8935-8faa6f62ca8f;2023-02-26 16:50:50;IRL;Monthly_timer_trial_29.99
3084e087-7fbf-47bb-a1f1-d85b061a7756;29,99;settled;Recurring;e798e651-7f39-4ce9-9278-0c34867d2586;2023-02-26 15:29:51;DEU;Monthly_timer_trial_29.99
